state,x,y
Leh Ladakh,-136,313
Jammu and Kashmir,-168,268
Punjab,-152,201
Himachal Pradesh,-112,235
Haryana,-131,168
Uttarakhand,-81,200
Uttar Pradesh,-81,128
Rajashthan,-226,118
Gujarat,-236,32
Madhya Pradesh,-126,39
Maharashtra,-184,-45
Karnataka,-159,-147
Kerala,-144,-244
Tamil Nadu,-107,-255
Andhra Pradesh,-107,-142
Telangana,-96,-91
Odisha,13,-21
Chhattisgarh,-25,11
Jarkhand,25,54
Bihar,38,101
West Bengal,77,40
Sikkim,97,131
Assam,164,110
Meghalaya,144,86
Arunachal Pradesh,215,155
Nagaland,234,110
Manipur,215,78
Mizoram,199,42
Tripura,154,55
Goa,-193,-129
